success,rt,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,response,slider_start,itemID,condition,tag,accuracy,participant_id,ctime
NA,1458,html-slider-response,11,16694,0.0-1.0-2.0,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.010.jpeg>
              <p id=""context"">Two event organizers are talking about a recent fundraiser.</p>
              <div id=""initiative"" class=""utterance""><p>I don't believe that the guests at our yearly banquet received champagne as an aperitif.</p></div>
              <div id=""response"" class=""utterance""><p>Yeah, and the caterer can tell you why not.</p></div>
            </div>",68,50,14,notbelieve,whynot,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,736,html-button-response,12,17432,0.0-1.0-0.1,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.015.jpeg>
              <p id=""context"">Two union representatives are discussing some concerns that have been raised by the employees of a car factory.</p>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,736,html-button-response,13,18169,0.0-1.0-1.1,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.015.jpeg>
              <p id=""context"">Two union representatives are discussing some concerns that have been raised by the employees of a car factory.</p>
              <div id=""initiative"" class=""utterance""><p>I think that the warehouse crew didn't receive benefits in this period.</p></div>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,1297,html-slider-response,14,19467,0.0-1.0-2.1,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.015.jpeg>
              <p id=""context"">Two union representatives are discussing some concerns that have been raised by the employees of a car factory.</p>
              <div id=""initiative"" class=""utterance""><p>I think that the warehouse crew didn't receive benefits in this period.</p></div>
              <div id=""response"" class=""utterance""><p>Yeah, and now management has to explain why not.</p></div>
            </div>",62,50,4,thinknot,whynot,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,592,html-button-response,15,20060,0.0-1.0-0.2,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.012.jpeg>
              <p id=""context"">Two law students are discussing a precedent case study.</p>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,505,html-button-response,16,20566,0.0-1.0-1.2,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.012.jpeg>
              <p id=""context"">Two law students are discussing a precedent case study.</p>
              <div id=""initiative"" class=""utterance""><p>It's not my opinion that the defense lawyer's closing statement made an impact in this case.</p></div>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,1137,html-slider-response,17,21705,0.0-1.0-2.2,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.012.jpeg>
              <p id=""context"">Two law students are discussing a precedent case study.</p>
              <div id=""initiative"" class=""utterance""><p>It's not my opinion that the defense lawyer's closing statement made an impact in this case.</p></div>
              <div id=""response"" class=""utterance""><p>Yeah, and neither did the testimonies.</p></div>
            </div>",65,50,6,notopinion,neither,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,600,html-button-response,18,22306,0.0-1.0-0.3,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.011.jpeg>
              <p id=""context"">Two labor activitsts are discussing the developments during a strike in the mining industry.</p>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,368,html-button-response,19,22675,0.0-1.0-1.3,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.011.jpeg>
              <p id=""context"">Two labor activitsts are discussing the developments during a strike in the mining industry.</p>
              <div id=""initiative"" class=""utterance""><p>It's not my view that the coal miners talked to the press this week.</p></div>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,1490,html-slider-response,20,24166,0.0-1.0-2.3,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.011.jpeg>
              <p id=""context"">Two labor activitsts are discussing the developments during a strike in the mining industry.</p>
              <div id=""initiative"" class=""utterance""><p>It's not my view that the coal miners talked to the press this week.</p></div>
              <div id=""response"" class=""utterance""><p>Yeah, and the reporters understood why not.</p></div>
            </div>",64,50,12,notview,whynot,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,680,html-button-response,21,24847,0.0-1.0-0.4,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.007.jpeg>
              <p id=""context"">Two teachers are discussing their students' progress.</p>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,520,html-button-response,22,25368,0.0-1.0-1.4,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.007.jpeg>
              <p id=""context"">Two teachers are discussing their students' progress.</p>
              <div id=""initiative"" class=""utterance""><p>I don't get the impression that the students in my class improved their grades this semester.</p></div>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,1258,html-slider-response,23,26628,0.0-1.0-2.4,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.007.jpeg>
              <p id=""context"">Two teachers are discussing their students' progress.</p>
              <div id=""initiative"" class=""utterance""><p>I don't get the impression that the students in my class improved their grades this semester.</p></div>
              <div id=""response"" class=""utterance""><p>Yeah, and we need to figure out why not.</p></div>
            </div>",69,50,5,notimpression,whynot,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,575,html-button-response,24,27204,0.0-1.0-0.5,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.004.jpeg>
              <p id=""context"">Two members of the administrative staff at a wildlife reserve are discussing animal care.</p>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,585,html-button-response,25,27790,0.0-1.0-1.5,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.004.jpeg>
              <p id=""context"">Two members of the administrative staff at a wildlife reserve are discussing animal care.</p>
              <div id=""initiative"" class=""utterance""><p>You're wrong that the park rangers fed the lions this morning.</p></div>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,1963,html-slider-response,26,29753,0.0-1.0-2.5,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.004.jpeg>
              <p id=""context"">Two members of the administrative staff at a wildlife reserve are discussing animal care.</p>
              <div id=""initiative"" class=""utterance""><p>You're wrong that the park rangers fed the lions this morning.</p></div>
              <div id=""response"" class=""utterance""><p>Yeah, and neither did the deputy wardens.</p></div>
            </div>",60,50,7,wrong,neither,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,616,html-button-response,27,30370,0.0-1.0-0.6,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.006.jpeg>
              <p id=""context"">Two classical music enthusiasts discuss an event they attended together.</p>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,408,html-button-response,28,30780,0.0-1.0-1.6,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.006.jpeg>
              <p id=""context"">Two classical music enthusiasts discuss an event they attended together.</p>
              <div id=""initiative"" class=""utterance""><p>I don't get the feeling that the pianists played Beethoven sonatas at the competition.</p></div>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,1153,html-slider-response,29,31934,0.0-1.0-2.6,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.006.jpeg>
              <p id=""context"">Two classical music enthusiasts discuss an event they attended together.</p>
              <div id=""initiative"" class=""utterance""><p>I don't get the feeling that the pianists played Beethoven sonatas at the competition.</p></div>
              <div id=""response"" class=""utterance""><p>Yeah, not even the less famous ones.</p></div>
            </div>",66,50,8,notfeeling,noteven,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,608,html-button-response,30,32544,0.0-1.0-0.7,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.013.jpeg>
              <p id=""context"">Two guests at a soccer match are discussing the players pre-game routine.</p>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,432,html-button-response,31,32976,0.0-1.0-1.7,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.013.jpeg>
              <p id=""context"">Two guests at a soccer match are discussing the players pre-game routine.</p>
              <div id=""initiative"" class=""utterance""><p>These athletes are really careless about injury prevention. As if the home team really warmed up their muscles before the game.</p></div>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,1131,html-slider-response,32,34108,0.0-1.0-2.7,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.013.jpeg>
              <p id=""context"">Two guests at a soccer match are discussing the players pre-game routine.</p>
              <div id=""initiative"" class=""utterance""><p>These athletes are really careless about injury prevention. As if the home team really warmed up their muscles before the game.</p></div>
              <div id=""response"" class=""utterance""><p>Yeah, not even for five minutes.</p></div>
            </div>",68,50,11,asif,noteven,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,718,html-button-response,33,34828,0.0-1.0-0.8,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.014.jpeg>
              <p id=""context"">Two colleagues are talking about what happened at the company Christmas party.</p>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,392,html-button-response,34,35221,0.0-1.0-1.8,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.014.jpeg>
              <p id=""context"">Two colleagues are talking about what happened at the company Christmas party.</p>
              <div id=""initiative"" class=""utterance""><p>It's a lie that the party planning committee made an effort this year.</p></div>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,1274,html-slider-response,35,36496,0.0-1.0-2.8,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.014.jpeg>
              <p id=""context"">Two colleagues are talking about what happened at the company Christmas party.</p>
              <div id=""initiative"" class=""utterance""><p>It's a lie that the party planning committee made an effort this year.</p></div>
              <div id=""response"" class=""utterance""><p>Yeah, and it's pretty clear why not.</p></div>
            </div>",61,50,1,lie,whynot,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,640,html-button-response,36,37137,0.0-1.0-0.9,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.008.jpeg>
              <p id=""context"">Two journalists are discussing the results of the recent international climate summit.</p>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,312,html-button-response,37,37450,0.0-1.0-1.9,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.008.jpeg>
              <p id=""context"">Two journalists are discussing the results of the recent international climate summit.</p>
              <div id=""initiative"" class=""utterance""><p>I disagree that the delegates narrowed down possible target dates in the final resolution.</p></div>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,1113,html-slider-response,38,38563,0.0-1.0-2.9,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.008.jpeg>
              <p id=""context"">Two journalists are discussing the results of the recent international climate summit.</p>
              <div id=""initiative"" class=""utterance""><p>I disagree that the delegates narrowed down possible target dates in the final resolution.</p></div>
              <div id=""response"" class=""utterance""><p>Yeah, and neither did the chair of the session.</p></div>
            </div>",71,50,3,disagree,neither,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,617,html-button-response,39,39181,0.0-1.0-0.10,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.002.jpeg>
              <p id=""context"">Two medical researchers are discussing what happened at a recent conference.</p>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,304,html-button-response,40,39486,0.0-1.0-1.10,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.002.jpeg>
              <p id=""context"">Two medical researchers are discussing what happened at a recent conference.</p>
              <div id=""initiative"" class=""utterance""><p>It's just a rumor that the pharmacists discussed potential side effects of the medicine at the conference.</p></div>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,1160,html-slider-response,41,40648,0.0-1.0-2.10,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.002.jpeg>
              <p id=""context"">Two medical researchers are discussing what happened at a recent conference.</p>
              <div id=""initiative"" class=""utterance""><p>It's just a rumor that the pharmacists discussed potential side effects of the medicine at the conference.</p></div>
              <div id=""response"" class=""utterance""><p>Yeah, not even after they were pointed out publicly.</p></div>
            </div>",65,50,15,rumor,noteven,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,753,html-button-response,42,41402,0.0-1.0-0.11,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.003.jpeg>
              <p id=""context"">Two television executives are discussing the success of the shows on their channel.</p>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,304,html-button-response,43,41707,0.0-1.0-1.11,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.003.jpeg>
              <p id=""context"">Two television executives are discussing the success of the shows on their channel.</p>
              <div id=""initiative"" class=""utterance""><p>I don't think that the new daytime drama on TV grew its viewership last month.</p></div>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,2451,html-slider-response,44,44159,0.0-1.0-2.11,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.003.jpeg>
              <p id=""context"">Two television executives are discussing the success of the shows on their channel.</p>
              <div id=""initiative"" class=""utterance""><p>I don't think that the new daytime drama on TV grew its viewership last month.</p></div>
              <div id=""response"" class=""utterance""><p>Yeah, and neither did the news shows.</p></div>
            </div>",63,50,9,notthink,neither,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,1089,html-button-response,45,45249,0.0-1.0-0.12,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.001.jpeg>
              <p id=""context"">Two board members of an NGO are discussing how things went in their organization during the past month.</p>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,384,html-button-response,46,45634,0.0-1.0-1.12,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.001.jpeg>
              <p id=""context"">Two board members of an NGO are discussing how things went in their organization during the past month.</p>
              <div id=""initiative"" class=""utterance""><p>I think that the volunteers performed many administrative tasks this month.</p></div>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,1186,html-slider-response,47,46821,0.0-1.0-2.12,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.001.jpeg>
              <p id=""context"">Two board members of an NGO are discussing how things went in their organization during the past month.</p>
              <div id=""initiative"" class=""utterance""><p>I think that the volunteers performed many administrative tasks this month.</p></div>
              <div id=""response"" class=""utterance""><p>Yeah, not even simple scheduling tasks.</p></div>
            </div>",67,50,2,think,noteven,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,936,html-button-response,48,47758,0.0-1.0-0.13,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.009.jpeg>
              <p id=""context"">Two tax consultants are discussing tax regulations for public institutions.</p>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,328,html-button-response,49,48086,0.0-1.0-1.13,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.009.jpeg>
              <p id=""context"">Two tax consultants are discussing tax regulations for public institutions.</p>
              <div id=""initiative"" class=""utterance""><p>I heavily doubt that the public universities had to follow the new tax laws.</p></div>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,1442,html-slider-response,50,49530,0.0-1.0-2.13,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.009.jpeg>
              <p id=""context"">Two tax consultants are discussing tax regulations for public institutions.</p>
              <div id=""initiative"" class=""utterance""><p>I heavily doubt that the public universities had to follow the new tax laws.</p></div>
              <div id=""response"" class=""utterance""><p>Yeah, not even the proficatble ones.</p></div>
            </div>",63,50,13,doubt,noteven,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,656,html-button-response,51,50187,0.0-1.0-0.14,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.005.jpeg>
              <p id=""context"">Two journalists are following the developments in a high-profile scandal.</p>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,296,html-button-response,52,50484,0.0-1.0-1.14,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.005.jpeg>
              <p id=""context"">Two journalists are following the developments in a high-profile scandal.</p>
              <div id=""initiative"" class=""utterance""><p>I bet some of our colleagues are involved in the cover-up. Like the reporters really interviewed the whistleblowers this morning.</p></div>
            </div>",0,NA,NA,NA,NA,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,1025,html-slider-response,53,51510,0.0-1.0-2.14,"
            <div id=""wrapper"">
              <img id=""scene"" src=images/scenes.005.jpeg>
              <p id=""context"">Two journalists are following the developments in a high-profile scandal.</p>
              <div id=""initiative"" class=""utterance""><p>I bet some of our colleagues are involved in the cover-up. Like the reporters really interviewed the whistleblowers this morning.</p></div>
              <div id=""response"" class=""utterance""><p>Yeah, and neither did the investigators.</p></div>
            </div>",69,50,10,like,neither,NA,46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
NA,17201,survey,54,68788,0.0-2.0-0.0,NA,"{""P0_Q0"":null,""age"":""1"",""gender"":""female"",""language"":""yes"",""amE"":""no"",""comments"":""good stuff! :)""}",NA,NA,NA,NA,[],46d15935-3af2-4a89-a7e4-8f7aae6d640c,2023-11-20 20:21:39 CET
TRUE,5489,fullscreen,0,6505,0.0-0.0-0.0,NA,NA,NA,NA,NA,NA,NA,8069cb6d-91ef-45cc-b9f0-8362251289b9,2023-11-20 23:06:13 CET
NA,71545,html-button-response,1,78052,0.0-0.0-1.0,"<p style='text-align:left'>In this experiment, you will read short conversations between two people. The first person always makes a statement, and the second responds to the first. We ask you to rate how natural the response to the statement is, on a slider from 'totally unnatural' to 'totally natural'.</p>          <p style='text-align:left'>In rating the responses, you should consider whether you might use these sentences or whether you think others might use them. There are no right or wrong answers here beyond your own intuition. You should answer each question as quickly as you can, but without rushing. Don't worry, this will be easy, and you will get a chance to practice this.</p>          <p style='text-align:left'> At the end of the experiment, we ask you some demographic questions (age, gender, native language).</p>          <h4>Consent to participate:</h4>          <p style='text-align:left' font size=""1""> By clicking on the button below you agree to participate in this experiment, which is conducted by researchers at the University of Stuttgart. Participation in this study should not consume more than 5 minutes of your time, and there are no risks or discomforts expected to result from participation. You are free to withdraw from this experiment at any time without penalty. Your data will be collected and treated anonymously and confidentially. It may be used for any subsequent data analysis and / or publication of results based on this experiment, and stored in electronic format indefinitely. If you have any questions, you may contact the requester through Prolific's platform, or directly at ac140440@uni-stuttgart.de.</p>",0,NA,NA,NA,NA,NA,8069cb6d-91ef-45cc-b9f0-8362251289b9,2023-11-20 23:06:13 CET
NA,13603,html-button-response,2,91656,0.0-0.0-2.0-0.0,"<p style='text-align:left'>Okay, so let's start with our practice round. You will see a picture showing a situation where there is an imagined conversation between two people, and a sentence that describes the context of the conversation.</p>            <p style='text-align:left'> You should read the sentence and then press continue. Let's try it out.</p>",0,NA,NA,NA,NA,NA,8069cb6d-91ef-45cc-b9f0-8362251289b9,2023-11-20 23:06:13 CET
NA,6480,html-button-response,3,98136,0.0-0.0-2.0-1.0,<div id='wrapper'><img id='scene' src='images/scenes.001.jpeg'><p id='context'>Two neighbors are discussing the healthcare costs in their local community.</p>,0,NA,NA,NA,NA,NA,8069cb6d-91ef-45cc-b9f0-8362251289b9,2023-11-20 23:06:13 CET
NA,7402,html-button-response,4,105539,0.0-0.0-2.0-2.0,"<p style='text-align:left'>Then, you will see the first part of the conversation. It will show up as a statement in the first speech bubble.</p>            <p style='text-align:left'> As before, just read this statement, and press continue.</p>",0,NA,NA,NA,NA,NA,8069cb6d-91ef-45cc-b9f0-8362251289b9,2023-11-20 23:06:13 CET
NA,9959,html-button-response,5,115498,0.0-0.0-2.0-3.0,<div id='wrapper'><img id='scene' src='images/scenes.001.jpeg'><p id='context'>Two neighbors are discussing the healthcare costs in their local community.</p><div id='initiative' class='utterance'><p>The dentists in this town didn't charge the private patients a lot of money last year.</p></div>,0,NA,NA,NA,NA,NA,8069cb6d-91ef-45cc-b9f0-8362251289b9,2023-11-20 23:06:13 CET
NA,3818,html-button-response,6,119317,0.0-0.0-2.0-4.0,"<p style='text-align:left'>Finally, you will read the response. Now, you will be asked to give a rating of how natural the response sounds as a reaction to the first statement.</p>            <p style='text-align:left'> Read the response, adjust the slider to reflect how natural the sentence sounds to you, and then press continue.</p>",0,NA,NA,NA,NA,NA,8069cb6d-91ef-45cc-b9f0-8362251289b9,2023-11-20 23:06:13 CET
NA,5871,html-slider-response,7,125190,0.0-0.0-2.0-5.0,"<div id='wrapper'><img id='scene' src='images/scenes.001.jpeg'><p id='context'>Two neighbors are discussing the healthcare costs in their local community.</p><div id='initiative' class='utterance'><p>The dentists in this town didn't charge the private patients a lot of money last year.</p></div><div id='response' class='utterance'><p>Yeah, not even the most greedy ones.</p></div>",100,50,NA,NA,NA,NA,8069cb6d-91ef-45cc-b9f0-8362251289b9,2023-11-20 23:06:13 CET
